riddle,location,qr_id
"Where waters mirror the sky and thoughts run deep, seek the clue where reflections sleep.",edc pond,
"A guarded castle where few may stride, find the hint near the gate with pride.",girls hostel,
"Near where “F” begins its tale, sit where stories never fail.",bench near f building,
I never walk yet show every way—read the arrows that choose your day.,direction board near edc,
"Not the door of restless nights, but the glass that frames the lights.",boys hostel entrance window,
"Where doubts line up and answers are stamped, seek the desk where futures are camped.",student counter,
"Where hunger gathers but plates don’t yet meet, look just beyond where aromas greet.",outside canteen,
"Beneath what stands, where lost things wait, lies the answer delayed by fate.",lost and found,
"Not in front but where effort hides, turn around where support resides.",volunteers back,
"Neither his nor hers alone, where every sign stands neutral in tone.",unisex washroom,
